SITE ID,Type,StationName,Area,County,Location,Address,lat,lon,TWD97_TM2_X,TWD97_TM2_Y
EPA059,一般,屏東,南部,屏東縣,中正國小,屏東縣屏東市蘇州街75號,22.6730818,120.4883196,197420.5,2508174
EPA060,一般,潮州,南部,屏東縣,潮東國小,屏東縣潮州鎮九塊里復興路66號,22.5228948,120.5602474,204762.7,2491520
EPA061,公園兼一般,恆春,南部,屏東縣,畜牧試驗所,屏東縣恆春鎮公園路44號(大溪地牧場),21.956345,120.80943,230317.3,2428736
EPA062,一般,台東,東部,臺東縣,台東縣政府,臺東縣台東市中山路276號,22.7553774,121.1505862,265464.6,2517204
EPA063,一般,花蓮,東部,花蓮縣,中正國小,花蓮市中正路210號,23.9719051,121.5995633,311014.6,2652042
EPA064,公園,陽明,北部,臺北市,陽明山鞍部,臺北市北投區竹子湖路111號,25.1826542,121.5292519,303344,2786114
EPA065,一般,宜蘭,東部,宜蘭縣,復興國中,宜蘭市復興路二段77號,24.7490995,121.7468602,325541.9,2738194
EPA066,一般,冬山,東部,宜蘭縣,冬山國中,宜蘭縣冬山鄉南興村照安路26號,24.6318151,121.7912871,330110.7,2725228
EPA067,交通,三重,北部,新北市,三重交流道,新北市三重市三和路重陽路交叉口,25.072634,121.494117,299847.3,2773914
EPA068,交通,中壢,北部,桃園市,中壢國小,桃園市中壢區延平路622號,24.9540453,121.2219635,272413.4,2760706
EPA069,一般,竹山,中部,南投縣,雲林國小,南投縣竹山鎮雲林里育德巷40號,23.7552063,120.6772663,217102.6,2627951
EPA070,交通,永和,北部,新北市,中山公園,新北市永和區永和路二段光復路交叉口,25.016876,121.516353,302114,2767746
EPA071,交通,復興,南部,高雄市,復興國小,高雄市前鎮區民權二路331號,22.6083867,120.3117284,179240.5,2501083
EPA072,參考測站,埔里,中部,南投縣,埔里國中,南投縣埔里鎮西安路一段193號,23.9687019,120.9692813,246873.9,2651557
EPA075,一般測站,馬祖,外島,連江縣,介壽國中小,連江縣南竿鄉介壽村13號,26.1605191,119.9500716,145033.4,2894753
EPA077,一般測站,金門,外島,金門縣,金城國中,金門縣金城鎮民權路32號,24.432025,118.3137965,-22449.78,2705513
EPA078,一般測站,馬公,外島,澎湖縣,澎湖縣衛生局,澎湖縣馬公市中正路115號,23.5695543,119.566316,103642.4,2608086
EPA080,參考測站,關山,東部,臺東縣,關山鎮圖書館,臺東縣關山鎮自強路66號,23.0450308,121.1613598,266535.9,2549279
