SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-08-28 08:00:00,7.0,6.0,3.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,7.0,6.0,9.0,10.0,6.0,7.0,8.0,5.0,3.0,5.0,6.0,8.0,12.0,12.0,9.0,7.0,7.0,6.0,6.0,5.0,7.0,10.0,8.0,6.0,6.0,4.0,2.0,6.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,7.0,9.0,10.0,11.0,11.0,14.0,10.0,15.0,13.0,11.0,12.0
EPA002,2020-08-28 08:00:00,9.0,6.0,5.0,6.0,6.0,7.0,12.0,9.0,6.0,5.0,7.0,8.0,12.0,10.0,8.0,10.0,11.0,11.0,11.0,9.0,7.0,10.0,20.0,13.0,14.0,13.0,7.0,6.0,4.0,11.0,11.0,9.0,8.0,11.0,7.0,5.0,5.0,9.0,6.0,5.0,5.0,6.0,8.0,8.0,5.0,3.0,7.0,6.0,5.0,4.0,3.0,5.0,2.0,6.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,9.0,10.0,11.0,8.0,13.0,14.0,13.0,14.0,17.0
EPA003,2020-08-28 08:00:00,6.0,8.0,5.0,3.0,4.0,10.0,6.0,5.0,5.0,6.0,9.0,9.0,6.0,5.0,11.0,13.0,7.0,6.0,6.0,7.0,8.0,10.0,8.0,10.0,11.0,17.0,1.0,5.0,7.0,9.0,12.0,9.0,5.0,5.0,11.0,9.0,8.0,7.0,6.0,8.0,6.0,4.0,7.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,5.0,7.0,11.0,14.0,9.0,10.0,10.0,13.0,12.0,11.0,10.0,14.0
EPA004,2020-08-28 08:00:00,5.930232558,6.023255814,6.11627907,6.209302326,6.302325581,6.395348837,6.488372093,6.581395349,6.674418605,6.76744186,6.860465116,6.953488372,7.046511628,7.139534884,7.23255814,7.325581395,7.418604651,7.511627907,7.604651163,7.697674419,7.790697674,7.88372093,7.976744186,8.069767442,8.162790698,8.255813953,8.348837209,8.441860465,8.534883721,8.627906977,8.720930233,8.813953488,8.906976744,9.0,6.0,7.0,10.0,9.0,9.0,8.875,8.75,8.625,8.5,8.375,8.25,8.125,8.0,7.875,7.75,7.625,7.5,7.375,7.25,7.125,7.0,6.875,6.75,6.625,6.5,6.375,6.25,6.125,6.0,5.785714286,5.571428571,5.357142857,5.142857143,4.928571429,4.714285714,4.5,4.285714286,4.071428571
EPA005,2020-08-28 08:00:00,11.0,9.0,13.0,15.0,14.0,20.0,13.0,10.0,8.0,8.0,17.0,16.0,13.0,11.0,10.0,9.0,7.0,7.0,11.0,8.0,11.0,7.0,5.0,8.0,8.0,11.0,9.0,13.0,10.0,11.0,13.0,11.0,10.0,10.0,10.0,9.0,7.0,4.0,5.0,4.0,4.0,6.0,9.0,7.0,6.0,8.0,8.0,6.0,6.0,4.0,2.0,1.0,2.0,2.0,3.0,7.0,4.0,1.0,1.0,2.0,1.0,2.0,6.0,7.0,7.0,11.0,9.0,11.0,7.0,4.0,9.0,11.0
EPA006,2020-08-28 08:00:00,6.0,12.0,12.0,14.0,13.0,12.0,16.0,9.0,12.0,12.0,10.0,17.0,13.0,14.0,14.0,11.0,11.0,10.0,8.0,10.0,10.0,10.0,11.0,16.0,12.0,11.0,10.0,9.0,6.0,6.0,13.0,10.0,7.0,6.0,7.0,6.0,4.0,2.0,3.0,8.0,5.0,4.0,6.0,8.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,10.0,7.0,8.0,10.0,9.0,7.0,8.0,7.0,10.0,11.0
EPA007,2020-08-28 08:00:00,10.0,7.0,8.0,16.0,18.0,18.0,14.0,11.0,11.0,15.0,9.0,10.0,13.0,11.0,13.0,14.0,12.0,15.0,13.0,16.0,8.0,10.0,13.0,18.0,12.0,11.0,11.0,12.0,9.0,9.0,13.0,12.0,10.0,10.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,11.0,8.0,6.0,10.0,9.0,8.0,6.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,6.0,5.0,7.0,7.0,4.0,7.0,7.0,11.0,13.0,12.0,13.0,16.0,14.0,12.0,13.0,12.0
EPA008,2020-08-28 08:00:00,2.534883721,2.488372093,2.441860465,2.395348837,2.348837209,2.302325581,2.255813953,2.209302326,2.162790698,2.11627907,2.069767442,2.023255814,1.976744186,1.930232558,1.88372093,1.837209302,1.790697674,1.744186047,1.697674419,1.651162791,1.604651163,1.558139535,1.511627907,1.465116279,1.418604651,1.372093023,1.325581395,1.279069767,1.23255814,1.186046512,1.139534884,1.093023256,1.046511628,1.0,1.0,1.0,2.0,2.0,4.0,3.875,3.75,3.625,3.5,3.375,3.25,3.125,3.0,2.875,2.75,2.625,2.5,2.375,2.25,2.125,2.0,1.875,1.75,1.625,1.5,1.375,1.25,1.125,1.0,1.133333333,1.266666667,1.4,1.533333333,1.666666667,1.8,1.933333333,2.066666667,2.2
EPA009,2020-08-28 08:00:00,9.0,6.0,11.0,12.5,14.0,10.0,10.0,12.0,8.0,11.0,9.0,11.0,10.0,8.0,11.0,6.0,6.0,15.0,12.0,8.0,8.0,10.0,8.0,9.0,12.0,14.0,24.0,19.0,10.0,8.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0,7.0,8.0,6.0,4.0,6.0,6.0,6.0,4.0,7.0,10.0,6.0,4.0,6.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,6.0,6.0,10.0,10.0,10.0,11.0,9.0,14.0,12.0,13.0
EPA010,2020-08-28 08:00:00,6.0,8.0,8.0,8.0,10.0,12.0,10.0,10.0,12.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,6.0,3.0,6.0,8.0,7.0,9.0,9.0,10.0,12.0,18.0,12.0,12.0,9.0,8.0,9.0,8.0,6.0,10.0,7.0,7.0,6.0,4.0,5.0,7.0,6.0,3.0,4.0,4.0,2.0,3.0,11.0,8.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,7.0,7.0,5.0,4.0,6.0,18.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,12.0,11.0
EPA011,2020-08-28 08:00:00,1.76744186,1.744186047,1.720930233,1.697674419,1.674418605,1.651162791,1.627906977,1.604651163,1.581395349,1.558139535,1.534883721,1.511627907,1.488372093,1.465116279,1.441860465,1.418604651,1.395348837,1.372093023,1.348837209,1.325581395,1.302325581,1.279069767,1.255813953,1.23255814,1.209302326,1.186046512,1.162790698,1.139534884,1.11627907,1.093023256,1.069767442,1.046511628,1.023255814,1.0,1.0,2.0,2.0,3.0,3.0,2.916666667,2.833333333,2.75,2.666666667,2.583333333,2.5,2.416666667,2.333333333,2.25,2.166666667,2.083333333,2.0,1.916666667,1.833333333,1.75,1.666666667,1.583333333,1.5,1.416666667,1.333333333,1.25,1.166666667,1.083333333,1.0,1.25,1.5,1.75,2.0,2.25,2.5,2.75,3.0,3.25
EPA012,2020-08-28 08:00:00,5.069767442,4.976744186,4.88372093,4.790697674,4.697674419,4.604651163,4.511627907,4.418604651,4.325581395,4.23255814,4.139534884,4.046511628,3.953488372,3.860465116,3.76744186,3.674418605,3.581395349,3.488372093,3.395348837,3.302325581,3.209302326,3.11627907,3.023255814,2.930232558,2.837209302,2.744186047,2.651162791,2.558139535,2.465116279,2.372093023,2.279069767,2.186046512,2.093023256,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4375,1.875,2.3125,2.75,3.1875,3.625,4.0625,4.5,4.9375
EPA013,2020-08-28 08:00:00,8.0,11.0,8.0,9.0,8.0,12.0,11.0,10.0,9.0,10.0,10.0,15.0,16.0,19.0,11.0,7.0,5.0,8.0,6.0,2.0,3.0,6.0,9.0,10.0,11.0,12.0,9.0,7.0,6.0,7.0,10.0,10.0,7.0,6.0,8.0,8.0,7.0,11.0,9.0,7.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,4.0,6.0,4.0,2.0,2.0,3.0,5.0,6.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,9.0,13.0,11.0,8.0,10.0,7.0,8.0,10.0,12.0,14.0
EPA014,2020-08-28 08:00:00,9.0,8.0,14.0,12.0,10.0,11.0,14.0,8.0,10.0,8.0,6.0,8.0,9.0,12.0,10.0,7.0,7.0,7.0,8.0,9.0,7.0,5.0,11.0,17.0,8.0,8.0,10.0,8.0,6.0,13.0,12.0,15.0,11.0,11.0,9.0,13.0,11.0,6.0,1.0,2.0,9.0,9.0,7.0,4.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,2.0,1.0,3.0,4.0,5.0,5.0,6.0,4.0,2.0,5.0,6.0,8.0,7.0,11.0,12.0,8.0,9.0,11.0,13.0,14.0,11.0
EPA015,2020-08-28 08:00:00,7.0,7.0,10.0,7.0,6.0,8.0,15.0,9.0,8.0,6.0,5.0,9.0,7.0,11.0,11.0,10.0,10.0,7.0,9.0,9.0,7.0,17.0,8.0,9.0,8.0,9.0,14.0,9.0,8.0,11.0,16.0,12.0,11.0,13.0,8.0,9.0,7.0,7.0,6.0,6.0,11.0,9.0,7.0,10.0,8.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,5.0,5.0,7.0,8.0,9.0,11.0,11.0,8.0,9.0,10.0,14.0,16.0
EPA017,2020-08-28 08:00:00,6.0,6.0,9.0,14.0,13.0,7.0,11.0,14.0,12.0,11.0,14.0,9.0,10.0,22.0,19.0,23.0,14.0,12.0,16.0,21.0,29.0,16.0,13.0,9.0,9.0,16.0,12.0,16.0,8.0,8.0,9.0,11.0,11.0,8.0,9.0,8.0,11.0,10.0,8.0,7.0,13.0,10.0,8.0,16.0,8.0,7.0,8.0,9.0,9.0,8.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,6.0,10.0,10.0,11.0,10.0,6.0,11.0,15.0,14.0,9.0,15.0
EPA018,2020-08-28 08:00:00,9.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,10.0,7.0,11.0,9.0,9.0,11.0,18.0,25.0,4.0,5.0,12.0,17.0,16.0,15.0,23.0,18.0,12.0,14.0,20.0,15.0,10.0,17.0,15.0,11.0,9.0,8.0,10.0,10.0,16.0,7.0,5.0,9.0,7.0,4.0,11.0,8.0,9.0,7.0,8.0,11.0,13.0,9.0,5.0,3.0,1.0,2.0,2.0,13.0,7.0,5.0,3.0,1.0,4.0,5.0,10.0,19.0,10.0,12.0,12.0,10.0,10.0,13.0,14.0,19.0
EPA019,2020-08-28 08:00:00,3.0,2.0,5.0,3.0,4.0,5.0,10.0,9.0,4.0,5.0,11.0,12.0,7.0,8.0,6.0,9.0,13.0,11.0,9.0,12.0,12.0,20.0,12.0,13.0,10.0,12.0,9.0,7.0,13.0,9.0,11.0,12.0,9.0,8.0,7.0,13.0,9.0,4.0,10.0,16.0,15.0,17.0,18.0,13.0,15.0,9.0,9.0,16.0,16.0,5.0,2.0,1.0,4.0,5.0,10.0,13.0,9.0,5.0,3.0,2.0,3.0,2.0,10.0,8.0,13.0,12.0,12.0,9.0,10.0,8.0,9.0,11.0
EPA020,2020-08-28 08:00:00,4.125,4.035714286,3.946428571,3.857142857,3.767857143,3.678571429,3.589285714,3.5,3.410714286,3.321428571,3.232142857,3.142857143,3.053571429,2.964285714,2.875,2.785714286,2.696428571,2.607142857,2.517857143,2.428571429,2.339285714,2.25,2.160714286,2.071428571,1.982142857,1.892857143,1.803571429,1.714285714,1.625,1.535714286,1.446428571,1.357142857,1.267857143,1.178571429,1.089285714,1.0,3.0,3.0,1.0,1.138888889,1.277777778,1.416666667,1.555555556,1.694444444,1.833333333,1.972222222,2.111111111,2.25,2.388888889,2.527777778,2.666666667,2.805555556,2.944444444,3.083333333,3.222222222,3.361111111,3.5,3.638888889,3.777777778,3.916666667,4.055555556,4.194444444,4.333333333,4.472222222,4.611111111,4.75,4.888888889,5.027777778,5.166666667,5.305555556,5.444444444,5.583333333
EPA021,2020-08-28 08:00:00,1.0,2.0,6.0,5.0,6.0,3.0,12.0,12.0,13.0,10.0,9.0,11.0,8.0,16.0,11.0,7.0,8.0,10.0,6.0,4.0,11.0,11.0,14.0,9.0,12.0,7.0,11.0,25.0,15.0,11.0,9.0,11.0,13.0,16.0,10.0,17.0,14.0,12.0,9.0,13.0,11.0,11.0,10.0,7.0,4.0,2.0,11.0,10.0,10.0,18.0,13.0,8.0,5.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,4.0,1.0,5.0,16.0,13.0,13.0,11.0,12.0,9.0,9.0,10.0,15.0
EPA022,2020-08-28 08:00:00,8.0,6.0,5.0,3.0,4.0,13.0,11.0,7.0,7.0,6.0,9.0,13.0,11.0,8.0,8.0,8.0,6.0,11.0,12.0,15.0,13.0,11.0,16.0,12.0,16.0,7.0,6.0,9.0,10.0,10.0,10.0,12.0,14.0,12.0,12.0,11.0,18.0,15.0,10.0,10.0,8.0,9.0,15.0,14.0,15.0,14.0,9.0,10.0,12.0,18.0,9.0,7.0,4.0,3.0,1.0,8.0,8.0,6.0,3.0,4.0,5.0,2.0,4.0,11.0,13.0,12.0,9.0,10.0,9.0,19.0,20.0,15.0
EPA023,2020-08-28 08:00:00,2.0,4.0,4.0,4.0,3.0,7.0,13.0,7.0,7.0,10.0,9.0,5.0,3.0,9.0,7.0,5.0,5.0,3.0,7.0,8.0,6.0,7.0,7.0,15.0,12.0,13.0,14.0,13.0,20.0,16.0,13.0,12.0,13.0,12.0,13.0,11.0,10.0,7.0,10.0,7.0,4.0,6.0,4.0,7.0,6.0,5.0,7.0,6.0,10.0,12.0,11.0,18.0,9.0,7.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,7.0,6.0,4.0,7.0,9.0,6.0,6.0,6.0,4.0,6.0
