SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-10-30 08:00:00,9.0,12.0,13.0,11.0,13.0,18.0,16.0,17.0,17.0,15.0,13.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,7.0,6.0,6.0,10.0,9.0,5.0,3.0,8.0,6.0,4.0,6.0,6.0,12.0,13.0,9.0,11.0,12.0,8.0,9.0,8.0,11.0,11.0,10.0,11.0,11.0,15.0,16.0,16.0,16.0,17.0,11.0,10.0,5.0,6.0,7.0,5.0,4.0,6.0,7.0,11.0,8.0,9.0,10.0,9.0,4.0,4.44,4.88,5.32,5.76,6.2,6.64,7.08,7.52,7.96
EPA002,2020-10-30 08:00:00,13.0,16.0,15.0,15.0,16.0,16.0,14.0,19.0,20.0,19.0,17.0,12.0,10.0,9.0,8.0,9.0,11.0,9.0,7.0,6.0,8.0,10.0,7.0,7.0,7.0,13.0,10.0,5.0,2.0,5.0,12.0,15.0,18.0,12.0,14.0,14.0,8.0,3.0,12.0,11.0,11.0,8.0,9.0,13.0,17.0,14.0,20.0,16.0,12.0,13.0,8.0,6.0,6.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,5.0,8.0,8.0,8.32,8.64,8.96,9.28,9.6,9.92,10.24,10.56,10.88
EPA003,2020-10-30 08:00:00,16.0,17.0,17.0,15.0,24.0,18.0,21.0,20.0,21.0,17.0,15.0,17.0,13.0,14.0,9.0,11.0,11.0,16.0,12.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,6.0,5.0,8.0,12.0,11.0,17.0,18.0,16.0,11.0,11.0,9.0,12.0,11.0,15.0,10.0,15.0,16.0,17.0,18.0,13.0,15.0,16.0,18.0,9.0,10.0,12.0,10.0,8.0,9.0,15.0,16.0,11.0,14.0,10.0,10.0,8.0,8.0,8.48,8.96,9.44,9.92,10.4,10.88,11.36,11.84,12.32
EPA004,2020-10-30 08:00:00,16.0,6.0,12.0,18.0,14.0,20.0,19.0,17.0,18.0,14.0,18.0,19.0,11.0,10.0,11.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,8.0,10.0,9.0,11.0,11.0,8.0,9.0,8.0,11.0,11.0,15.0,14.0,10.0,8.0,10.0,10.0,8.0,16.0,3.0,11.0,10.0,12.0,17.0,16.0,17.0,17.0,10.0,6.0,4.0,3.0,6.0,7.0,9.0,13.0,14.0,10.0,8.0,7.0,7.0,11.0,9.0,9.36,9.72,10.08,10.44,10.8,11.16,11.52,11.88,12.24
EPA005,2020-10-30 08:00:00,14.0,14.0,15.0,16.0,19.0,23.0,20.0,19.0,19.0,20.0,21.0,16.0,14.0,16.0,13.0,17.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,11.0,7.0,10.0,15.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,12.0,10.0,18.0,15.0,15.0,14.0,17.0,16.0,13.0,9.0,8.0,6.0,5.0,10.0,9.0,9.0,8.0,5.0,2.0,1.0,6.0,9.0,11.0,11.16,11.32,11.48,11.64,11.8,11.96,12.12,12.28,12.44
EPA006,2020-10-30 08:00:00,13.0,16.0,15.0,14.0,13.0,17.0,15.0,16.0,19.0,14.0,17.0,15.0,12.0,10.0,8.0,17.0,7.0,6.0,7.0,6.0,6.0,9.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,5.0,9.0,14.0,12.0,9.0,12.0,8.0,5.0,6.0,7.0,8.0,9.0,7.0,13.0,14.0,13.0,14.0,12.0,11.0,8.0,5.0,7.0,7.0,8.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,4.0,3.0,3.44,3.88,4.32,4.76,5.2,5.64,6.08,6.52,6.96
EPA007,2020-10-30 08:00:00,11.0,10.0,14.0,16.0,17.0,17.0,17.0,22.0,17.0,20.0,16.0,16.0,17.0,13.0,12.0,9.0,10.0,7.0,12.0,12.0,14.0,15.0,10.0,7.0,6.0,7.0,7.0,9.0,9.0,11.0,12.0,16.0,20.0,21.0,12.0,9.0,8.0,9.0,8.0,8.0,10.0,18.0,18.0,21.0,22.0,20.0,19.0,14.0,12.0,10.0,6.0,4.0,7.0,10.0,11.0,13.0,11.0,9.0,10.0,8.0,9.0,9.0,8.0,8.32,8.64,8.96,9.28,9.6,9.92,10.24,10.56,10.88
EPA008,2020-10-30 08:00:00,9.0,12.0,9.0,13.0,12.0,14.0,16.0,17.0,16.0,16.0,18.0,16.0,17.0,11.0,10.0,13.0,9.0,8.0,9.0,9.0,10.0,11.0,15.0,9.0,9.0,7.0,10.0,8.0,8.0,8.0,11.0,13.0,8.0,16.0,9.0,11.0,9.0,8.0,7.0,12.0,10.0,10.0,15.0,15.0,13.0,13.0,14.0,14.0,15.0,11.0,8.0,9.0,11.0,8.0,11.0,10.0,7.0,9.0,8.0,12.0,8.0,7.0,6.0,6.28,6.56,6.84,7.12,7.4,7.68,7.96,8.24,8.52
EPA009,2020-10-30 08:00:00,13.0,14.0,16.0,12.0,18.0,18.0,18.0,18.0,17.0,18.0,14.0,16.0,13.0,19.0,13.0,11.0,8.0,12.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,7.0,9.0,8.0,9.0,10.0,12.0,11.0,10.0,15.0,11.0,9.0,11.0,10.0,8.0,13.0,11.0,13.0,11.0,17.0,16.0,12.0,18.0,9.0,10.0,11.0,10.0,7.0,8.0,8.0,15.0,9.0,5.0,8.0,9.0,8.0,8.0,7.0,7.6,8.2,8.8,9.4,10.0,10.6,11.2,11.8,12.4
EPA010,2020-10-30 08:00:00,16.0,14.0,14.0,12.0,12.0,20.0,19.0,20.0,18.0,14.0,19.0,15.0,12.0,13.0,10.0,11.0,10.0,11.0,10.0,8.0,7.0,15.0,13.0,10.0,7.0,5.0,10.0,7.0,6.0,7.0,11.0,16.0,11.0,11.0,9.0,7.0,8.0,8.0,10.0,8.0,8.0,9.0,13.0,15.0,15.0,15.0,16.0,11.0,10.0,12.0,7.0,5.0,6.0,6.0,11.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,9.32,9.64,9.96,10.28,10.6,10.92,11.24,11.56,11.88
EPA011,2020-10-30 08:00:00,14.0,14.0,12.0,14.0,21.0,18.0,17.77777778,17.55555556,17.33333333,17.11111111,16.88888889,16.66666667,16.44444444,16.22222222,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,9.0,2.0,1.0,4.0,9.0,10.0,15.0,11.0,13.0,9.0,10.0,11.0,9.0,16.0,11.0,13.0,19.0,21.0,17.0,18.0,17.0,11.0,11.0,8.0,4.0,4.0,6.0,7.0,9.0,10.0,10.0,13.0,11.0,10.0,7.0,7.0,9.0,9.28,9.56,9.84,10.12,10.4,10.68,10.96,11.24,11.52
EPA012,2020-10-30 08:00:00,12.0,13.0,14.0,17.0,15.0,15.5,16.0,20.0,21.0,18.0,21.0,15.0,15.0,13.0,12.0,14.0,11.0,8.0,11.0,10.0,16.0,8.0,7.0,10.0,9.0,7.0,12.0,10.0,8.0,11.0,11.0,14.0,18.0,18.0,16.0,11.0,14.0,11.0,8.0,14.0,10.0,11.0,17.0,16.0,20.0,12.0,21.0,15.0,13.0,12.0,12.0,11.0,11.0,11.0,8.0,8.0,12.0,15.0,13.0,9.0,10.0,10.0,11.0,11.04,11.08,11.12,11.16,11.2,11.24,11.28,11.32,11.36
EPA013,2020-10-30 08:00:00,11.0,12.0,15.0,14.0,17.0,14.0,14.0,21.0,15.0,19.0,17.0,14.0,13.0,12.0,13.0,10.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,9.0,8.0,6.0,10.0,15.0,11.0,14.0,11.0,9.0,7.0,7.0,9.0,8.0,11.0,12.0,15.0,15.0,9.0,12.0,12.0,14.0,14.0,9.0,9.0,9.0,5.0,16.0,10.0,11.0,6.0,5.0,8.0,8.0,8.0,8.0,12.0,12.2,12.4,12.6,12.8,13.0,13.2,13.4,13.6,13.8
EPA014,2020-10-30 08:00:00,14.0,12.0,17.0,18.0,14.0,14.0,23.0,17.0,18.0,16.0,20.0,18.0,13.0,12.0,11.0,14.0,11.0,8.0,10.0,7.0,6.0,9.0,6.0,8.0,6.0,6.0,4.0,5.0,5.0,4.0,6.0,14.0,15.0,15.0,13.0,11.0,9.0,8.0,12.0,8.0,8.0,9.0,14.0,12.0,13.0,12.0,10.0,12.0,10.0,5.0,10.0,5.0,4.0,8.0,10.0,9.0,8.0,8.0,12.0,7.0,7.0,6.0,5.0,5.36,5.72,6.08,6.44,6.8,7.16,7.52,7.88,8.24
EPA015,2020-10-30 08:00:00,15.0,19.0,19.0,19.0,19.0,20.0,17.0,19.0,22.0,24.0,15.0,19.0,15.0,11.0,12.0,10.0,11.0,11.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,11.0,9.0,7.0,16.0,13.0,14.0,13.0,13.0,17.0,9.0,13.0,18.0,12.0,17.0,15.0,10.0,10.0,16.0,15.0,18.0,19.0,20.0,13.0,11.0,9.0,9.0,9.0,10.0,11.0,7.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,10.24,10.48,10.72,10.96,11.2,11.44,11.68,11.92,12.16
EPA017,2020-10-30 08:00:00,14.0,10.0,14.0,15.0,15.0,15.0,15.0,14.0,17.0,17.0,13.0,16.0,16.0,15.0,9.0,7.0,11.0,15.0,7.0,8.0,12.0,15.0,11.0,9.0,10.0,6.0,6.0,7.0,11.0,10.0,9.0,10.0,11.0,11.0,12.0,12.0,11.0,9.0,14.0,18.0,13.0,10.0,11.0,13.0,17.0,15.0,13.0,11.0,14.0,9.0,7.0,5.0,6.0,7.0,5.0,9.0,12.0,9.0,9.0,7.0,5.0,5.0,4.0,4.52,5.04,5.56,6.08,6.6,7.12,7.64,8.16,8.68
EPA018,2020-10-30 08:00:00,14.0,17.0,16.0,20.0,19.0,20.0,14.0,18.0,18.0,22.0,14.0,13.0,17.0,13.0,11.0,10.0,8.0,12.0,12.0,10.0,10.0,11.0,11.0,8.0,11.0,12.0,10.0,12.0,8.0,13.0,11.0,11.0,12.0,12.0,14.0,9.0,9.0,8.0,7.0,22.0,4.0,14.0,16.0,14.0,17.0,19.0,12.0,14.0,14.0,12.0,12.0,9.0,5.0,8.0,11.0,9.0,7.0,6.0,10.0,9.0,8.0,5.0,10.0,10.36,10.72,11.08,11.44,11.8,12.16,12.52,12.88,13.24
EPA019,2020-10-30 08:00:00,12.0,16.0,18.0,18.0,23.0,13.0,22.0,20.0,21.0,20.0,17.0,15.0,14.0,13.0,17.0,7.0,12.0,13.0,10.0,10.0,8.0,7.0,15.0,14.0,10.0,11.0,9.0,9.0,17.0,16.0,10.0,14.0,19.0,10.0,12.0,12.0,11.0,10.0,12.0,18.0,10.0,16.0,12.0,17.0,17.0,20.0,19.0,16.0,9.0,13.0,11.0,8.0,8.0,11.0,11.0,11.0,15.0,6.0,9.0,9.0,9.0,10.0,9.0,15.24,21.48,27.72,33.96,40.2,46.44,52.68,58.92,65.16
EPA020,2020-10-30 08:00:00,12.0,12.0,14.0,14.0,20.0,18.33333333,16.66666667,15.0,21.0,22.0,20.0,16.0,11.0,14.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,11.0,10.0,7.0,6.0,7.0,9.0,10.0,9.0,7.0,10.0,10.0,18.0,11.0,12.0,13.0,9.0,6.0,4.0,10.0,8.0,15.0,18.0,16.0,17.0,18.0,14.0,14.0,11.0,9.0,7.0,7.0,8.0,8.0,9.0,6.0,14.0,11.0,10.0,7.0,4.0,5.0,5.0,5.36,5.72,6.08,6.44,6.8,7.16,7.52,7.88,8.24
EPA021,2020-10-30 08:00:00,16.0,15.0,16.0,17.0,15.0,15.0,19.0,16.0,17.0,15.0,20.0,14.0,14.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,10.0,11.0,10.0,10.0,9.0,5.0,15.0,7.0,13.0,13.0,12.0,7.0,9.0,10.0,9.0,9.0,8.0,5.0,4.0,6.0,9.0,10.0,13.0,12.0,12.0,14.0,14.0,12.0,14.0,11.0,9.0,8.0,8.0,5.0,12.0,11.0,11.0,10.0,8.0,4.0,4.0,3.0,6.0,6.56,7.12,7.68,8.24,8.8,9.36,9.92,10.48,11.04
EPA022,2020-10-30 08:00:00,29.0,6.0,9.0,12.0,12.0,12.0,18.0,20.0,12.0,13.0,18.0,17.0,13.0,14.0,15.0,9.0,12.0,12.0,8.0,7.0,8.0,4.0,4.0,6.0,5.0,8.0,7.0,6.0,2.0,4.0,6.0,9.0,15.0,8.0,11.0,8.0,6.0,8.0,6.0,5.0,6.0,10.0,15.0,12.0,18.0,15.0,14.0,11.0,15.0,12.0,6.0,7.0,7.0,12.0,7.0,9.0,12.0,9.0,6.0,9.0,5.0,5.0,10.0,10.24,10.48,10.72,10.96,11.2,11.44,11.68,11.92,12.16
