SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-08-21 08:00:00,4.695652174,4.565217391,4.434782609,4.304347826,4.173913043,4.043478261,3.913043478,3.782608696,3.652173913,3.52173913,3.391304348,3.260869565,3.130434783,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,4.833333333,4.666666667,4.5,4.333333333,4.166666667,4.0,3.833333333,3.666666667,3.5,3.333333333,3.166666667,3.0,2.833333333,2.666666667,2.5,2.333333333,2.166666667,2.0,1.833333333,1.666666667,1.5,1.333333333,1.166666667,1.0,1.625,2.25,2.875,3.5,4.125,4.75,5.375,6.0,6.625
EPA002,2020-08-21 08:00:00,7.0,7.0,6.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,4.0,8.0,6.0,3.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,11.0,9.0,8.0,36.0,11.0,10.0,11.0,15.0,15.0,13.0,11.0,11.0,11.0,8.0
EPA003,2020-08-21 08:00:00,7.0,8.0,6.0,4.0,2.0,4.0,6.0,6.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,4.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,3.0,6.0,7.0,4.0,3.0,5.0,4.0,3.0,3.0,6.0,7.0,13.0,12.0,13.0,11.0,13.0,8.0,8.0,7.0,10.0,11.0
EPA004,2020-08-21 08:00:00,5.0,6.0,4.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,4.0,5.0,10.0,10.0,16.0,11.0,13.0,9.0,11.0,10.0,10.0,11.0,8.0,5.0,8.0
EPA005,2020-08-21 08:00:00,7.0,7.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,6.0,5.0,3.0,5.0,6.0,2.0,1.0,5.0,6.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,10.0,8.0,13.0,12.0,14.0,11.0,11.0,16.0,13.0,11.0,9.0,10.0,8.0,7.0,9.0
EPA006,2020-08-21 08:00:00,6.434782609,6.47826087,6.52173913,6.565217391,6.608695652,6.652173913,6.695652174,6.739130435,6.782608696,6.826086957,6.869565217,6.913043478,6.956521739,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,4.0,4.0,5.0,5.041666667,5.083333333,5.125,5.166666667,5.208333333,5.25,5.291666667,5.333333333,5.375,5.416666667,5.458333333,5.5,5.541666667,5.583333333,5.625,5.666666667,5.708333333,5.75,5.791666667,5.833333333,5.875,5.916666667,5.958333333,6.0,6.615384615,7.230769231,7.846153846,8.461538462,9.076923077,9.692307692,10.30769231,10.92307692,11.53846154
EPA007,2020-08-21 08:00:00,8.0,6.0,3.5,1.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,6.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,3.0,5.0,6.0,10.0,6.0,3.0,4.0,3.0,3.0,3.0,6.0,4.0,5.0,6.0,4.0,6.0,8.0,5.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,5.0,4.0,5.0,4.0,6.0,4.0,1.0,3.0,3.0,3.0,8.0,12.0,13.0,11.0,10.0,7.0,6.0,17.0,15.0,16.0,11.0,8.0,14.0,11.0,12.0
EPA008,2020-08-21 08:00:00,7.0,6.0,3.0,4.0,6.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,5.0,1.0,1.0,3.0,5.0,3.0,8.0,8.0,9.0,11.0,6.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,3.0,7.0,5.0,6.0,5.0,6.0,11.0,12.0,9.0,7.0,10.0,15.0,10.0,10.0,9.0,14.0,12.0,14.0
EPA009,2020-08-21 08:00:00,6.0,8.0,4.5,1.0,2.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,7.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,6.0,4.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,5.0,5.0,3.0,2.0,4.0,15.0,10.0,9.0,8.0,6.0,11.0,10.0,10.0,8.0,6.0,6.0,5.0,8.0
EPA010,2020-08-21 08:00:00,1.434782609,1.47826087,1.52173913,1.565217391,1.608695652,1.652173913,1.695652174,1.739130435,1.782608696,1.826086957,1.869565217,1.913043478,1.956521739,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.958333333,2.916666667,2.875,2.833333333,2.791666667,2.75,2.708333333,2.666666667,2.625,2.583333333,2.541666667,2.5,2.458333333,2.416666667,2.375,2.333333333,2.291666667,2.25,2.208333333,2.166666667,2.125,2.083333333,2.041666667,2.0,2.375,2.75,3.125,3.5,3.875,4.25,4.625,5.0,5.375
