SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2021-02-05 08:00:00,11.0,6.0,3.0,4.0,5.0,3.0,2.0,9.0,25.0,22.0,33.0,38.0,23.0,25.0,32.0,30.0,29.0,30.0,34.0,26.0,24.0,21.0,21.0,29.0,30.0,31.0,48.0,57.0,33.0,30.0,36.0,32.0,42.0,39.0,38.0,36.0,36.0,29.0,27.0,24.0,22.0,23.0,17.0,13.0,14.0,14.0,12.0,19.0,9.0,11.0,11.0,9.0,8.0,9.0,11.0,13.0,16.0,17.0,17.0,13.0,13.0,9.0,9.0,13.0,11.0,10.0,10.0,16.0,17.0,14.0,13.0,11.0
EPA002,2021-02-05 08:00:00,11.0,10.0,6.0,4.0,5.0,10.0,22.0,31.0,40.0,36.0,43.0,42.0,41.0,34.0,38.0,35.0,38.0,33.0,31.0,30.0,27.0,26.0,28.0,34.0,38.0,34.0,31.0,39.0,44.0,55.0,46.0,39.0,40.0,44.0,50.0,49.0,48.0,43.0,40.0,36.0,34.0,29.0,27.0,21.0,17.0,15.0,15.0,24.0,14.0,10.0,8.0,11.0,9.0,13.0,11.0,8.0,11.0,12.0,12.0,16.0,16.0,14.0,10.0,21.0,18.0,11.0,13.0,11.0,12.0,11.0,17.0,16.0
EPA003,2021-02-05 08:00:00,11.0,9.0,8.0,6.0,11.0,9.0,7.0,20.0,23.0,31.0,29.0,32.0,28.0,33.0,44.0,32.0,20.0,20.0,20.0,25.0,24.0,27.0,24.0,27.0,33.0,39.0,56.0,47.0,33.0,30.0,34.0,32.0,34.0,35.0,38.0,30.0,32.0,31.0,24.0,21.0,18.0,21.0,22.0,17.0,13.0,11.0,13.0,13.0,16.0,17.0,11.0,7.0,10.0,13.0,12.0,14.0,15.0,17.0,13.0,16.0,12.0,11.0,13.0,11.0,10.0,13.0,14.0,12.0,13.0,19.0,13.0,12.0
EPA004,2021-02-05 08:00:00,8.0,4.0,2.0,2.0,4.0,9.0,29.0,33.0,44.0,41.0,50.0,50.0,41.0,19.0,17.0,16.0,15.0,18.0,13.0,14.0,12.0,13.0,15.0,17.0,16.0,27.0,27.0,42.0,53.0,46.0,45.0,48.0,43.0,48.0,50.0,43.0,44.0,38.0,26.0,27.0,17.0,13.0,12.0,14.0,14.0,16.0,14.0,13.0,11.0,9.0,10.0,8.0,12.0,12.0,11.0,11.0,15.0,16.0,14.0,17.0,17.0,12.0,12.0,12.0,13.0,9.0,10.0,10.0,14.0,12.0,13.0,15.0
EPA005,2021-02-05 08:00:00,10.0,11.0,12.0,11.0,12.0,35.0,48.0,43.0,52.0,60.0,64.0,65.0,64.0,58.0,59.0,57.0,61.0,59.0,53.0,50.0,50.0,43.0,47.0,50.0,59.0,47.0,39.0,62.0,56.0,51.0,34.0,36.0,52.0,56.0,60.0,52.0,49.0,40.0,34.0,27.0,34.0,28.0,26.0,27.0,25.0,24.0,28.0,35.0,39.0,11.0,13.0,12.0,17.0,13.0,12.0,17.0,15.0,23.0,17.0,19.0,18.0,16.0,15.0,12.0,11.0,14.0,10.0,9.0,11.0,13.0,12.0,18.0
EPA006,2021-02-05 08:00:00,11.0,11.0,9.0,7.0,14.0,32.0,43.0,43.0,50.0,50.0,62.0,69.0,65.0,38.0,57.0,65.0,64.0,54.0,50.0,42.0,46.0,46.0,36.0,38.0,46.0,105.0,47.0,56.0,52.0,37.0,29.0,34.0,48.0,53.0,54.0,45.0,46.0,32.0,30.0,23.0,26.0,30.0,29.0,27.0,26.0,28.0,35.0,36.0,23.0,11.0,11.0,8.0,12.0,11.0,8.0,13.0,19.0,13.0,14.0,17.0,12.0,11.0,9.0,19.0,9.0,12.0,14.0,11.0,11.0,17.0,12.0,16.0
EPA007,2021-02-05 08:00:00,10.0,7.0,8.0,5.0,7.0,35.0,38.0,39.0,42.0,47.0,56.0,60.0,63.0,68.0,65.0,50.0,37.0,42.0,34.0,35.0,30.0,30.0,61.0,55.0,52.0,45.0,56.0,52.0,47.0,36.0,34.0,36.0,41.0,56.0,52.0,55.0,55.0,46.0,31.0,24.0,25.0,37.0,43.0,40.0,37.0,38.0,40.0,32.0,25.0,9.0,10.0,13.0,14.0,11.0,11.0,12.0,13.0,16.0,21.0,17.0,14.0,16.0,17.0,15.0,16.0,15.0,12.0,14.0,16.0,16.0,18.0,15.0
EPA008,2021-02-05 08:00:00,10.0,11.0,9.0,6.0,12.0,34.0,33.0,38.0,36.0,48.0,37.0,64.0,69.0,58.0,35.0,25.0,26.0,33.0,31.0,34.0,63.0,72.0,62.0,57.0,36.0,33.0,78.0,68.0,54.0,43.0,39.0,44.0,46.0,56.0,55.0,46.0,40.0,26.0,24.0,27.0,27.0,29.0,34.0,38.0,36.0,45.0,43.0,29.0,18.0,10.0,15.0,22.0,20.0,12.0,17.0,14.0,15.0,13.0,18.0,14.0,13.0,16.0,13.0,12.0,13.0,14.0,15.0,16.0,11.0,17.0,16.0,20.0
EPA009,2021-02-05 08:00:00,25.0,32.0,35.0,33.0,29.0,44.0,52.0,53.0,57.0,53.0,63.0,69.0,71.0,68.0,59.0,64.0,55.0,44.0,46.0,54.0,79.0,86.0,87.0,84.0,78.0,62.0,75.0,56.0,41.0,34.0,31.0,30.0,40.0,55.0,54.0,65.0,70.0,68.0,63.0,53.0,39.0,52.0,54.0,48.0,33.0,37.0,46.0,49.0,51.0,45.0,46.0,30.0,27.0,24.0,21.0,23.0,24.0,24.0,38.0,42.0,28.0,18.0,29.0,33.0,40.0,32.0,37.0,30.0,35.0,22.0,22.0,23.0
EPA010,2021-02-05 08:00:00,9.0,10.0,11.0,7.0,15.0,19.0,20.0,49.0,53.0,56.0,52.0,43.0,49.0,48.0,45.0,47.0,41.0,44.0,71.0,59.0,65.0,58.0,61.0,40.0,60.0,83.0,73.0,46.0,44.0,37.0,35.0,44.0,39.0,39.0,45.0,41.0,39.0,31.0,14.0,21.0,19.0,36.0,39.0,23.0,28.0,37.0,29.0,33.0,38.0,42.0,39.0,28.0,21.0,20.0,15.0,15.0,16.0,16.0,22.0,16.0,17.0,22.0,15.0,21.0,17.0,17.0,18.0,13.0,12.0,11.0,17.0,16.0
