SITE ID,datetime,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23,t+24,t+25,t+26,t+27,t+28,t+29,t+30,t+31,t+32,t+33,t+34,t+35,t+36,t+37,t+38,t+39,t+40,t+41,t+42,t+43,t+44,t+45,t+46,t+47,t+48,t+49,t+50,t+51,t+52,t+53,t+54,t+55,t+56,t+57,t+58,t+59,t+60,t+61,t+62,t+63,t+64,t+65,t+66,t+67,t+68,t+69,t+70,t+71,t+72
EPA001,2020-11-02 08:00:00,8.4,8.84,9.28,9.72,10.16,10.6,11.04,11.48,11.92,12.36,12.8,13.24,13.68,14.12,14.56,15.0,9.0,11.0,8.0,21.0,24.0,32.0,31.0,36.0,39.0,38.0,35.0,35.0,37.0,30.0,26.0,23.0,27.0,30.0,35.0,31.0,34.0,25.0,22.0,18.0,13.0,14.0,15.0,11.0,11.0,9.0,11.0,8.0,7.0,6.0,4.0,7.0,11.0,9.0,13.0,11.0,8.0,12.0,10.0,8.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,11.0,8.0,7.0,8.0,11.0
EPA002,2020-11-02 08:00:00,11.2,11.52,11.84,12.16,12.48,12.8,13.12,13.44,13.76,14.08,14.4,14.72,15.04,15.36,15.68,16.0,13.0,17.0,7.0,11.0,21.0,30.0,31.0,36.0,36.0,38.0,34.0,37.0,39.0,31.0,35.0,24.0,27.0,32.0,36.0,34.0,30.0,24.0,28.0,20.0,15.0,17.0,15.0,16.0,10.0,14.0,11.0,9.0,15.0,15.0,9.0,10.0,9.0,11.0,13.0,9.0,12.0,9.0,10.0,8.0,10.0,10.0,9.0,7.0,9.0,7.0,11.0,10.0,8.0,12.0,18.0,9.0
EPA003,2020-11-02 08:00:00,12.8,13.28,13.76,14.24,14.72,15.2,15.68,16.16,16.64,17.12,17.6,18.08,18.56,19.04,19.52,20.0,17.0,11.0,15.0,27.0,32.0,44.0,45.0,40.0,45.0,45.0,42.0,41.0,44.0,41.0,32.0,34.0,40.0,39.0,43.0,41.0,37.0,33.0,26.0,27.0,20.0,23.0,22.0,22.0,16.0,15.0,22.0,46.0,12.0,14.0,10.0,8.0,11.0,14.0,14.0,11.0,14.0,13.0,15.0,10.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,17.0,13.0,15.0
EPA004,2020-11-02 08:00:00,12.6,12.96,13.32,13.68,14.04,14.4,14.76,15.12,15.48,15.84,16.2,16.56,16.92,17.28,17.64,18.0,14.0,12.0,8.0,8.0,17.0,25.0,32.0,31.0,39.0,39.0,42.0,41.0,40.0,41.0,35.0,30.0,25.0,31.0,35.0,34.0,32.0,30.0,29.0,25.0,21.0,15.0,20.0,19.0,19.0,15.0,11.0,11.0,10.0,9.0,7.0,12.0,11.0,12.0,16.0,11.0,12.0,9.0,11.0,10.0,13.0,15.0,11.0,9.0,11.0,9.0,7.0,8.0,8.0,8.0,10.0,9.0
EPA005,2020-11-02 08:00:00,12.6,12.76,12.92,13.08,13.24,13.4,13.56,13.72,13.88,14.04,14.2,14.36,14.52,14.68,14.84,15.0,13.0,18.0,16.0,10.0,11.0,18.0,28.0,39.0,38.0,47.0,40.0,38.0,43.0,35.0,27.0,34.0,34.0,33.0,32.0,31.0,34.0,31.0,24.0,28.0,22.0,20.0,18.0,12.0,13.0,16.0,12.0,16.0,14.0,12.0,16.0,6.0,12.0,12.0,11.0,10.0,16.0,13.0,11.0,11.0,15.0,13.0,11.0,13.0,10.0,7.0,10.0,9.0,8.0,12.0,10.0,10.0
EPA006,2020-11-02 08:00:00,7.4,7.84,8.28,8.72,9.16,9.6,10.04,10.48,10.92,11.36,11.8,12.24,12.68,13.12,13.56,14.0,16.0,11.0,9.0,10.0,11.0,16.0,29.0,36.0,34.0,37.0,34.0,34.0,37.0,31.0,34.0,29.0,36.0,28.0,31.0,28.0,31.0,28.0,21.0,21.0,18.0,16.0,13.0,14.0,14.0,15.0,11.0,14.0,14.0,10.0,6.0,7.0,11.0,14.0,10.0,11.0,8.0,10.0,8.0,12.0,14.0,11.0,8.0,12.0,7.0,4.0,5.0,3.0,2.0,7.0,6.0,11.0
EPA007,2020-11-02 08:00:00,11.2,11.52,11.84,12.16,12.48,12.8,13.12,13.44,13.76,14.08,14.4,14.72,15.04,15.36,15.68,16.0,19.0,17.0,15.0,8.0,17.0,26.0,35.0,36.0,35.0,39.0,41.0,35.0,36.0,32.0,33.0,29.0,27.0,31.0,34.0,32.0,31.0,20.0,25.0,22.0,19.0,15.0,17.0,14.0,14.0,12.0,10.0,9.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,11.0,11.0,13.0,13.0,10.0,10.0,8.0,8.0,11.0,9.0,10.0,18.0,8.0,9.0,11.0,15.0,13.0
EPA008,2020-11-02 08:00:00,8.8,9.08,9.36,9.64,9.92,10.2,10.48,10.76,11.04,11.32,11.6,11.88,12.16,12.44,12.72,13.0,12.0,9.0,10.0,14.0,13.0,21.0,25.0,31.0,36.0,34.5,33.0,33.0,37.0,33.0,31.0,23.0,24.0,31.0,32.0,32.0,23.0,20.0,23.0,16.0,13.0,16.0,14.0,13.0,11.0,12.0,12.0,10.0,8.0,13.0,9.0,10.0,9.0,8.0,7.0,11.0,8.0,11.0,7.0,11.0,8.0,8.0,12.0,9.0,6.0,10.0,8.0,7.0,9.0,11.0,8.0,10.0
EPA009,2020-11-02 08:00:00,13.0,13.6,14.2,14.8,15.4,16.0,16.6,17.2,17.8,18.4,19.0,19.6,20.2,20.8,21.4,22.0,17.0,11.0,11.0,17.0,23.0,33.0,38.0,40.0,41.0,38.0,38.0,36.0,40.0,35.0,30.0,28.0,21.0,35.0,37.0,32.0,22.0,19.0,21.0,19.0,13.0,15.0,15.0,14.0,12.0,18.0,10.0,12.0,11.0,9.0,11.0,8.0,8.0,11.0,10.0,13.0,11.0,10.0,13.0,12.0,10.0,11.0,7.0,12.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0
EPA010,2020-11-02 08:00:00,12.2,12.52,12.84,13.16,13.48,13.8,14.12,14.44,14.76,15.08,15.4,15.72,16.04,16.36,16.68,17.0,15.0,10.0,9.0,19.0,27.0,34.0,38.0,37.0,39.0,40.0,42.0,37.0,35.0,36.0,29.0,22.0,29.0,36.0,35.0,29.0,26.0,25.0,21.0,15.0,15.0,14.0,13.0,13.0,12.0,9.0,10.0,12.0,10.0,8.0,6.0,8.0,8.0,7.0,9.0,11.0,11.0,11.0,12.0,10.0,12.0,9.0,6.0,8.0,10.0,7.0,11.0,9.0,9.0,9.0,9.0,9.0
EPA011,2020-11-02 08:00:00,11.8,12.08,12.36,12.64,12.92,13.2,13.48,13.76,14.04,14.32,14.6,14.88,15.16,15.44,15.72,16.0,19.0,11.0,7.0,5.0,11.0,20.0,31.0,33.0,40.0,38.33333333,36.66666667,35.0,33.0,31.0,36.0,27.0,27.0,37.0,34.0,33.0,27.0,21.0,24.0,19.0,13.0,17.0,13.0,17.0,17.0,12.0,12.0,12.0,12.0,9.0,9.0,7.0,11.0,11.0,10.0,10.0,7.0,10.0,11.0,8.0,8.0,8.0,12.0,18.0,8.0,7.0,8.0,7.0,8.0,7.0,11.0,11.0
EPA012,2020-11-02 08:00:00,11.4,11.44,11.48,11.52,11.56,11.6,11.64,11.68,11.72,11.76,11.8,11.84,11.88,11.92,11.96,12.0,16.0,13.0,9.0,13.0,17.0,17.0,30.0,38.0,36.0,40.0,39.0,40.0,42.0,35.33333333,28.66666667,22.0,28.0,35.0,36.0,34.0,35.0,28.0,25.0,29.0,16.0,17.0,18.0,15.0,12.0,14.0,12.0,9.0,11.0,14.0,11.0,9.0,10.0,10.0,13.0,12.0,11.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,7.0,12.0,11.0,10.0,12.0,13.0,12.0,15.0
EPA013,2020-11-02 08:00:00,14.0,14.2,14.4,14.6,14.8,15.0,15.2,15.4,15.6,15.8,16.0,16.2,16.4,16.6,16.8,17.0,16.0,13.0,9.0,13.0,15.0,21.0,27.0,33.0,34.0,40.0,29.0,32.0,37.0,35.0,34.0,23.0,32.0,28.0,35.0,34.0,34.0,29.0,27.0,21.0,19.0,14.0,17.0,17.0,12.0,16.0,12.0,8.0,12.0,13.0,14.0,10.0,12.0,9.0,7.0,11.0,8.0,10.0,8.0,12.0,12.0,14.0,12.0,10.0,10.0,8.0,7.0,13.0,9.0,8.0,11.0,10.0
